Week,Subject,Start Date,Start Time,End Date,End Time,All Day,Description,Location,,,,,Overview,Lecture,Lab,Reading
Week 01,Week 1 overview,02/10/2023,09:00am,,,FALSE,Week 1 is for real \n https://littlemonkeylab.com/researchmethods/week01,,,,,,,,,
Week 01,Lecture 1,02/10/2023,10:00am,02/10/2023,11:00am,FALSE,Lecture 1 is about shit \n https://littlemonkeylab.com/researchmethods/lecture01,PSH LG02,,,,,,,,
Week 01,Lab 1 ,03/10/2023,09:30am,02/10/2023,11:30am,FALSE,Lab 1 is here \n https://littlemonkeylab.com/researchmethods/lab01,Usual Lab,,,,,,,,
Week 01,Reading 1,03/10/2023,5:00pm,,,FALSE,Only extras! \n https://littlemonkeylab.com/researchmethods/hw01,,,,,,,,,
Week 02,Week 2 overview,09/10/2023,09:00am,,,FALSE,Week 1 is for real \n https://littlemonkeylab.com/researchmethods/week02,,,,,,,,,
Week 02,Lecture 2,09/10/2023,10:00am,09/10/2023,11:00am,FALSE,Lecture 1 is about shit \n https://littlemonkeylab.com/researchmethods/lecture02,PSH LG02,,,,,,,,
Week 02,Lab 2,10/10/2023,09:30am,10/10/2023,11:30am,FALSE,Lab 1 is here \n https://littlemonkeylab.com/researchmethods/lab02,Usual Lab,,,,,,,,
Week 02,Reading 2,10/10/2023,5:00pm,,,FALSE,Only extras! \n https://littlemonkeylab.com/researchmethods/hw02,,,,,,,,,
Week 03,Week 3 overview,16/10/2023,09:00am,,,FALSE,Week 1 is for real \n https://littlemonkeylab.com/researchmethods/week03,,,,,,,,,
Week 03,Lecture 3,16/10/2023,10:00am,16/10/2023,11:00am,FALSE,Lecture 1 is about shit \n https://littlemonkeylab.com/researchmethods/lecture03,PSH LG02,,,,,,,,
Week 03,Lab 3,17/10/2023,09:30am,17/10/2023,11:30am,FALSE,Lab 1 is here \n https://littlemonkeylab.com/researchmethods/lab03,Usual Lab,,,,,,,,
Week 03,Reading 3,17/10/2023,5:00pm,,,FALSE,Only extras! \n https://littlemonkeylab.com/researchmethods/hw03,,,,,,,,,
Week 04,Week 4 overview,23/10/2023,09:00am,,,FALSE,Week 1 is for real \n https://littlemonkeylab.com/researchmethods/week04,,,,,,,,,
Week 04,Lecture 4,23/10/2023,10:00am,23/10/2023,11:00am,FALSE,Lecture 1 is about shit \n https://littlemonkeylab.com/researchmethods/lecture04,PSH LG02,,,,,,,,
Week 04,Lab 4,24/10/2023,09:30am,24/10/2023,11:30am,FALSE,Lab 1 is here \n https://littlemonkeylab.com/researchmethods/lab04,Usual Lab,,,,,,,,
Week 04,Reading 4,24/10/2023,5:00pm,,,FALSE,Only extras! \n https://littlemonkeylab.com/researchmethods/hw04,,,,,,,,,
Week 05,Week 5 overview,30/10/2023,09:00am,,,FALSE,Week 1 is for real \n https://littlemonkeylab.com/researchmethods/week05,,,,,,,,,
Week 05,Lecture 5,30/10/2023,10:00am,30/10/2023,11:00am,FALSE,Lecture 1 is about shit \n https://littlemonkeylab.com/researchmethods/lecture05,PSH LG02,,,,,,,,
Week 05,Lab 5,31/10/2023,09:30am,31/10/2023,11:30am,FALSE,Lab 1 is here \n https://littlemonkeylab.com/researchmethods/lab05,Usual Lab,,,,,,,,
Week 05,Reading 5,31/10/2023,5:00pm,,,FALSE,Only extras! \n https://littlemonkeylab.com/researchmethods/hw05,,,,,,,,,
,Reading Week,,,,,,,,,,,,,,,
Week 06,Week 6 overview,13/11/2023,09:00am,,,FALSE,Week 1 is for real \n https://littlemonkeylab.com/researchmethods/week06,,,,,,,,,
Week 06,Lecture 6,13/11/2023,10:00am,13/11/2023,11:00am,FALSE,Lecture 1 is about shit \n https://littlemonkeylab.com/researchmethods/lecture06,PSH LG02,,,,,,,,
Week 06,Lab 6,14/11/2023,09:30am,14/11/2023,11:30am,FALSE,Lab 1 is here \n https://littlemonkeylab.com/researchmethods/lab06,Usual Lab,,,,,,,,
Week 06,Reading 6,14/11/2023,5:00pm,,,FALSE,Only extras! \n https://littlemonkeylab.com/researchmethods/hw06,,,,,,,,,
Week 07,Week 7 overview,20/11/2023,09:00am,,,FALSE,Week 1 is for real \n https://littlemonkeylab.com/researchmethods/week07,,,,,,,,,
Week 07,Lecture 7,20/11/2023,10:00am,20/11/2023,11:00am,FALSE,Lecture 1 is about shit \n https://littlemonkeylab.com/researchmethods/lecture07,PSH LG02,,,,,,,,
Week 07,Lab 7,21/11/2023,09:30am,21/11/2023,11:30am,FALSE,Lab 1 is here \n https://littlemonkeylab.com/researchmethods/lab07,Usual Lab,,,,,,,,
Week 07,Reading 7,21/11/2023,5:00pm,,,FALSE,Only extras! \n https://littlemonkeylab.com/researchmethods/hw07,,,,,,,,,
Week 08,Week 8 overview,27/11/2023,09:00am,,,FALSE,Week 1 is for real \n https://littlemonkeylab.com/researchmethods/week08,,,,,,,,,
Week 08,Lecture 8,27/11/2023,10:00am,27/11/2023,11:00am,FALSE,Lecture 1 is about shit \n https://littlemonkeylab.com/researchmethods/lecture08,PSH LG02,,,,,,,,
Week 08,Lab 8,28/11/2023,09:30am,28/11/2023,11:30am,FALSE,Lab 1 is here \n https://littlemonkeylab.com/researchmethods/lab08,Usual Lab,,,,,,,,
Week 08,Reading 8,28/11/2023,5:00pm,,,FALSE,Only extras! \n https://littlemonkeylab.com/researchmethods/hw08,,,,,,,,,
Week 09,Week 9 overview,04/12/2023,09:00am,,,FALSE,Week 1 is for real \n https://littlemonkeylab.com/researchmethods/week09,,,,,,,,,
Week 09,Lecture 9,04/12/2023,10:00am,04/12/2023,11:00am,FALSE,Lecture 1 is about shit \n https://littlemonkeylab.com/researchmethods/lecture09,PSH LG02,,,,,,,,
Week 09,Lab 9,05/12/2023,09:30am,05/12/2023,11:30am,FALSE,Lab 1 is here \n https://littlemonkeylab.com/researchmethods/lab09,Usual Lab,,,,,,,,
Week 09,Reading 9,05/12/2023,5:00pm,,,FALSE,Only extras! \n https://littlemonkeylab.com/researchmethods/hw09,,,,,,,,,
Week 10,Week 10 overview,11/12/2023,09:00am,,,FALSE,Week 1 is for real \n https://littlemonkeylab.com/researchmethods/week10,,,,,,,,,
Week 10,Lecture 10,11/12/2023,10:00am,11/12/2023,11:00am,FALSE,Lecture 1 is about shit \n https://littlemonkeylab.com/researchmethods/lecture10,PSH LG02,,,,,,,,
Week 10,Lab 10,12/12/2023,09:30am,12/12/2023,11:30am,FALSE,Lab 1 is here \n https://littlemonkeylab.com/researchmethods/lab10,Usual Lab,,,,,,,,
Week 10,Reading 10,12/12/2023,5:00pm,,,FALSE,Only extras! \n https://littlemonkeylab.com/researchmethods/hw10,,,,,,,,,
,Winter break,,,,,,,,,,,,,,,
Week 11,Week 11 overview,08/01/2024,09:00am,,,FALSE,Week 1 is for real \n https://littlemonkeylab.com/researchmethods/week11,,,,,,,,,
Week 11,Lecture 11,08/01/2024,11:00am,08/01/2024,12:00pm,FALSE,Lecture 1 is about shit \n https://littlemonkeylab.com/researchmethods/lecture11,IGLT,,,,,,,,
Week 11,Lab 11,09/01/2024,09:30am,09/01/2024,11:30am,FALSE,Lab 1 is here \n https://littlemonkeylab.com/researchmethods/lab11,Usual Lab,,,,,,,,
Week 11,Reading 11,09/01/2024,05:00pm,,,FALSE,Only extras! \n https://littlemonkeylab.com/researchmethods/hw11,,,,,,,,,
Week 12,Week 12 overview,15/01/2024,09:00am,,,FALSE,Week 1 is for real \n https://littlemonkeylab.com/researchmethods/week12,,,,,,,,,
Week 12,Lecture 12,15/01/2024,11:00am,15/01/2024,12:00pm,FALSE,Lecture 1 is about shit \n https://littlemonkeylab.com/researchmethods/lecture12,IGLT,,,,,,,,
