Week,Subject,Date,Description,Overview,Lecture,Lab,Reading,,,,,,,,,
Week 01,Lecture 1,"Monday, 2 October 2023",Stuff,week01,lecture01,lab01,reading01,,,,,,,,,
Week 02,Lecture 2,"Monday, 9 October 2023",More stufd,week02,lecture02,lab02,reading02,,,,,,,,,
Week 03,Lecture 3,"Monday, 16 October 2023",Again,_week03,_lecture03,_lab03,_reading03,,,,,,,,,
Week 04,Lecture 4,"Monday, 23 October 2023",ttt,_week04,_lecture04,_lab04,_reading04,,,,,,Lecture01,,,
Week 05,Lecture 5,"Monday, 30 October 2023",ggg,_week05,_lecture05,_lab05,_reading05,,,,,,Lab01,,,
Reading Week,,,,,,,,,,,,,Lecture02,,,
Week 06,Lecture 6,"Monday, 13 November 2023",sfs,_week06,_lecture06,lab06,_reading06,,,,,,Lab02,,,
Week 07,Lecture 7,"Monday, 20 November 2023",adgaf,week07,_lecture07,_lab07,_reading07,,,,,,Lecture03,,,
Week 08,Lecture 8,"Monday, 27 November 2023",yjrtyj,_week08,_lecture08,_lab08,_reading08,,,,,,Lab03,,,
Week 09,Lecture 9,"Monday, 4 December 2023",werwer,_week09,_lecture09,_lab09,reading09,,,,,,Lecture04,,,
Week 10,Lecture 10,"Monday, 11 December 2023",fs,_week10,_lecture10,_lab10,_reading10,,,,,,Lab04,,,
Winter Break,,,,,,,,,,,,,Lecture05,,,
Week 11,Lecture 11,"Monday, 8 January 2024",sdfhs,_week11,_lecture11,_lab11,_reading11,,,,,,Lab05,,,
Week 12,Lecture 12,"Monday, 15 January 2024",sfs,_week12,_lecture12,_lab12,_reading12,,,,,,Lecture06,,,
Week 13,Lecture 13,"Monday, 22 January 2024",sss,_week13,_lecture13,_lab13,_reading13,,,,,,Lab06,,,
Week 14,Lecture 14,"Monday, 29 January 2024",ghhhh,_week14,_lecture14,_lab14,_reading14,,,,,,Lecture07,,,
Week 15,Lecture 15,"Monday, 5 February 2024",sfgeh,_week15,_lecture15,_lab15,_reading15,,,,,,Lab07,,,
Reading Week,,,,,,,,,,,,,Lecture08,,,
Week 16,Lecture 16,"Monday, 19 February 2024",nhhd,_week16,lecture16,_lab16,_reading16,,,,,,Lab08,,,
Week 17,Lecture 17,"Monday, 26 February 2024",hdg,_week17,_lecture17,_lab17,_reading17,,,,,,Lecture09,,,Lecture01
Week 18,Lecture 18,"Monday, 4 March 2024",bdjdj,_week18,_lecture18,_lab18,_reading18,,,,,,Lab09,,,Lab01
Week 19,Lecture 19,"Monday, 11 March 2024",dgh,_week19,_lecture19,_lab19,_reading19,,,,,,Lecture10,,,Lecture02
Week 20,Lecture 20,"Monday, 18 March 2024",hdhd,_week20,_lecture20,_lab20,_reading20,,,,,,Lab10,,,Lab02
,,,,,,,,,,,,,Lecture11,,,Lecture03
,,,,,,,,,,,,,Lab11,,,Lab03
,,,,,,,,,,,,,Lecture11,,,Lecture04
,,,,,,,,,,,,,Lab11,,,Lab04
,,,,,,,,,,,,,Lecture12,,,Lecture05
,,,,,,,,,,,,,Lab12,,,Lab05
,,,,,,,,,,,,,Lecture12,,,Lecture06
,,,,,,,,,,,,,Lab12,,,Lab06
,,,,,,,,,,,,,Lecture13,,,Lecture07
,,,,,,,,,,,,,Lab13,,,Lab07
,,,,,,,,,,,,,Lecture13,,,Lecture08
,,,,,,,,,,,,,Lab13,,,Lab08
,,,,,,,,,,,,,Lecture14,,,Lecture09
,,,,,,,,,,,,,Lab14,,,Lab09
,,,,,,,,,,,,,Lecture14,,,Lecture10
,,,,,,,,,,,,,Lab14,,,Lab10
,,,,,,,,,,,,,Lecture15,,,Lecture11
,,,,,,,,,,,,,Lab15,,,Lab11
,,,,,,,,,,,,,Lecture15,,,Lecture12
,,,,,,,,,,,,,Lab15,,,Lab12
,,,,,,,,,,,,,Lecture16,,,Lecture13
,,,,,,,,,,,,,Lab16,,,Lab13
,,,,,,,,,,,,,Lecture16,,,Lecture14
,,,,,,,,,,,,,Lab16,,,Lab14
,,,,,,,,,,,,,Lecture17,,,Lecture15
,,,,,,,,,,,,,Lab17,,,Lab15
,,,,,,,,,,,,,Lecture17,,,Lecture16
,,,,,,,,,,,,,Lab17,,,Lab16
,,,,,,,,,,,,,Lecture18,,,Lecture17
,,,,,,,,,,,,,Lab18,,,Lab17
,,,,,,,,,,,,,Lecture18,,,Lecture18
,,,,,,,,,,,,,Lab18,,,Lab18
,,,,,,,,,,,,,Lecture19,,,Lecture19
,,,,,,,,,,,,,Lab19,,,Lab19
,,,,,,,,,,,,,Lecture19,,,Lecture20
,,,,,,,,,,,,,Lab19,,,
,,,,,,,,,,,,,Lecture20,,,
,,,,,,,,,,,,,Lab20,,,
,,,,,,,,,,,,,Lecture20,,,
,,,,,,,,,,,,,Lab20,,,
